Sample_Type,Genes,Ct
AA,ETV4,36.77
AA,ETV4,40
AA,ETV4,36.58
AA,ETV4,40
AA,ETV4,40
AA,ETV4,40
AA,ETV4,36.65
AA,ETV4,40
AA,ETV4,40
AA,ETV4,40
AA,ETV4,40
AA,ETV4,38.22
AA,ETV4,38.02
AA,ETV4,37.37
AA,ETV4,34.63
Col_Neg,ETV4,40
Col_Neg,ETV4,37.56
Col_Neg,ETV4,40
Col_Neg,ETV4,40
Col_Neg,ETV4,40
Col_Neg,ETV4,40
Col_Neg,ETV4,40
Col_Neg,ETV4,40
Col_Neg,ETV4,38.46
Col_Neg,ETV4,36.72
Col_Neg,ETV4,40
Col_Neg,ETV4,37.18
Col_Neg,ETV4,40
Col_Neg,ETV4,40
Col_Neg,ETV4,40
Col_Neg,ETV4,40
Col_Neg,ETV4,40
Col_Neg,ETV4,36.13
CON,ETV4,40
CON,ETV4,36.21
CON,ETV4,40
CON,ETV4,36.82
CON,ETV4,40
CON,ETV4,40
CON,ETV4,40
CON,ETV4,37.28
CON,ETV4,40
CON,ETV4,40
CON,ETV4,38.02
CON,ETV4,40
CON,ETV4,40
CON,ETV4,40
CON,ETV4,38.46
CON,ETV4,40
CON,ETV4,40
CON,ETV4,40
CON,ETV4,40
CON,ETV4,38.71
CON,ETV4,40
CON,ETV4,37.4
CON,ETV4,36.17
CON,ETV4,40
CON,ETV4,40
CON,ETV4,40
CON,ETV4,40
CON,ETV4,36.09
CON,ETV4,40
CON,ETV4,33.37
CON,ETV4,40
CON,ETV4,37.55
CON,ETV4,40
CON,ETV4,37.48
CON,ETV4,40
CRC,NME2,28.55
CRC,NME2,31.72
CRC,NME2,33.32
CRC,NME2,30.05
CRC,NME2,29.2
CRC,NME2,33.36
CRC,NME2,27.11
CRC,NME2,33.95
CRC,NME2,31.69
CRC,NME2,30.8
CRC,NME2,30.76
CRC,NME2,30.36
CRC,NME2,34
CRC,NME2,31.79
CRC,NME2,30.87
CRC,NME2,35.2
CRC,NME2,28.85
CRC,NME2,32.18
CRC,NME2,26.86
CRC,NME2,32.8
CRC,NME2,31.48
CRC,NME2,22.56
CRC,NME2,27.36
CRC,NME2,26.63
CRC,NME2,30.2
CRC,NME2,30.1
CRC,NME2,34.36
CRC,NME2,32.33
CRC,NME2,28.32
CRC,NME2,26.15
CRC,NME2,33.14
CRC,NME2,28.54
CRC,NME2,26.37
AA,NME2,29.7
AA,NME2,34.35
AA,NME2,32.88
AA,NME2,29.17
AA,NME2,33.44
AA,NME2,32.35
AA,NME2,31.14
AA,NME2,34.93
AA,NME2,32.38
AA,NME2,32.03
AA,NME2,32.88
AA,NME2,33.75
AA,NME2,32.86
AA,NME2,32.93
AA,NME2,33.82
AA,NME2,33.09
AA,NME2,35.34
